
SNAP_TIME       ,   SNAP_ID,INSTANCE_NUMBER,EVENT_NAME                                                      ,RATE_TIMEWAITED
2016_02_13 15:00,     47539,              2,direct path read                                                ,      141123.14
2016_02_13 15:00,     47539,              2,log file sync                                                   ,      375955.54
2016_02_13 15:00,     47539,              1,db file sequential read                                         ,        6516.62
2016_02_13 15:00,     47539,              1,log file sync                                                   ,       60982.36
2016_02_13 15:00,     47539,              3,enq: TX - row lock contention                                   ,      578110.03
2016_02_13 15:30,     47540,              4,log file parallel write                                         ,       61312.04
2016_02_13 15:30,     47540,              4,log file sync                                                   ,      135508.56
2016_02_13 15:30,     47540,              4,SQL*Net more data from dblink                                   ,              0
2016_02_13 15:30,     47540,              3,db file sequential read                                         ,      590291.07
2016_02_13 15:30,     47540,              3,log file sync                                                   ,      330171.42
2016_02_13 15:30,     47540,              1,db file scattered read                                          ,           1.48
2016_02_13 15:30,     47540,              2,log file parallel write                                         ,      148910.75
2016_02_13 15:30,     47540,              2,direct path read                                                ,      170490.87
2016_02_13 15:30,     47540,              2,log file sync                                                   ,      409483.77
2016_02_13 15:30,     47540,              1,db file sequential read                                         ,          87881
2016_02_13 15:30,     47540,              1,log file sync                                                   ,       55649.78
2016_02_13 15:30,     47540,              3,enq: TX - row lock contention                                   ,       25747.89
2016_02_13 16:00,     47541,              4,log file parallel write                                         ,       47208.04
2016_02_13 16:00,     47541,              4,log file sync                                                   ,       89987.06
2016_02_13 16:00,     47541,              4,SQL*Net more data from dblink                                   ,      494751.23
2016_02_13 16:00,     47541,              3,db file sequential read                                         ,      604119.64
2016_02_13 16:00,     47541,              3,log file sync                                                   ,       353216.2
2016_02_13 16:00,     47541,              1,db file scattered read                                          ,           1.14
2016_02_13 16:00,     47541,              2,log file parallel write                                         ,      169377.05
2016_02_13 16:00,     47541,              2,direct path read                                                ,      119183.77
2016_02_13 16:00,     47541,              2,log file sync                                                   ,      438981.32
2016_02_13 16:00,     47541,              1,db file sequential read                                         ,       28271.46
2016_02_13 16:00,     47541,              1,log file sync                                                   ,       66793.74
2016_02_13 16:00,     47541,              3,enq: TX - row lock contention                                   ,       83897.71
2016_02_13 16:30,     47542,              4,log file parallel write                                         ,       50059.99
2016_02_13 16:30,     47542,              4,log file sync                                                   ,        69445.4
2016_02_13 16:30,     47542,              4,SQL*Net more data from dblink                                   ,      436035.57
2016_02_13 16:30,     47542,              3,db file sequential read                                         ,      484328.03
2016_02_13 16:30,     47542,              3,log file sync                                                   ,      365168.39
2016_02_13 16:30,     47542,              1,db file scattered read                                          ,           1.32
2016_02_13 16:30,     47542,              2,log file parallel write                                         ,      137211.17
2016_02_13 16:30,     47542,              2,direct path read                                                ,      109786.41
2016_02_13 16:30,     47542,              2,log file sync                                                   ,      379332.33
2016_02_13 16:30,     47542,              1,db file sequential read                                         ,      993706.12
2016_02_13 16:30,     47542,              1,log file sync                                                   ,       48142.58
2016_02_13 16:30,     47542,              3,enq: TX - row lock contention                                   ,        5468.54
2016_02_13 17:00,     47543,              4,log file parallel write                                         ,       40337.69
2016_02_13 17:00,     47543,              4,log file sync                                                   ,       48938.78
2016_02_13 17:00,     47543,              4,SQL*Net more data from dblink                                   ,              0
2016_02_13 17:00,     47543,              3,db file sequential read                                         ,       654848.8
2016_02_13 17:00,     47543,              3,log file sync                                                   ,      435084.49
2016_02_13 17:00,     47543,              1,db file scattered read                                          ,         936634
2016_02_13 17:00,     47543,              2,log file parallel write                                         ,       137228.5
2016_02_13 17:00,     47543,              2,direct path read                                                ,      134480.66
2016_02_13 17:00,     47543,              2,log file sync                                                   ,      361901.02
2016_02_13 17:00,     47543,              1,db file sequential read                                         ,     1992819.07
2016_02_13 17:00,     47543,              1,log file sync                                                   ,          73016
2016_02_13 17:00,     47543,              3,enq: TX - row lock contention                                   ,       37755.75
2016_02_13 17:30,     47544,              4,log file parallel write                                         ,       49135.33
2016_02_13 17:30,     47544,              4,log file sync                                                   ,       57784.28
2016_02_13 17:30,     47544,              4,SQL*Net more data from dblink                                   ,              0
2016_02_13 17:30,     47544,              3,db file sequential read                                         ,      666633.52
2016_02_13 17:30,     47544,              3,log file sync                                                   ,      525841.52
2016_02_13 17:30,     47544,              1,db file scattered read                                          ,      855983.33
2016_02_13 17:30,     47544,              2,log file parallel write                                         ,      123096.35
2016_02_13 17:30,     47544,              2,direct path read                                                ,      121327.21
2016_02_13 17:30,     47544,              2,log file sync                                                   ,      278634.31
2016_02_13 17:30,     47544,              1,db file sequential read                                         ,      702990.17
2016_02_13 17:30,     47544,              1,log file sync                                                   ,        73237.8
2016_02_13 17:30,     47544,              3,enq: TX - row lock contention                                   ,          23072
2016_02_13 18:00,     47545,              4,log file parallel write                                         ,       50785.87
2016_02_13 18:00,     47545,              4,log file sync                                                   ,       83287.54
2016_02_13 18:00,     47545,              4,SQL*Net more data from dblink                                   ,              0
2016_02_13 18:00,     47545,              3,db file sequential read                                         ,      576695.53
2016_02_13 18:00,     47545,              3,log file sync                                                   ,      356506.88
2016_02_13 18:00,     47545,              1,db file scattered read                                          ,       46505.83
2016_02_13 18:00,     47545,              2,log file parallel write                                         ,      153201.46
2016_02_13 18:00,     47545,              2,direct path read                                                ,      220417.65
2016_02_13 18:00,     47545,              2,log file sync                                                   ,      423946.58
2016_02_13 18:00,     47545,              1,db file sequential read                                         ,      161029.85
2016_02_13 18:00,     47545,              1,log file sync                                                   ,       70851.31
2016_02_13 18:00,     47545,              3,enq: TX - row lock contention                                   ,       12344.46
2016_02_13 18:30,     47546,              4,log file parallel write                                         ,       55333.49
2016_02_13 18:30,     47546,              4,log file sync                                                   ,       86141.38
2016_02_13 18:30,     47546,              4,SQL*Net more data from dblink                                   ,      272900.94
2016_02_13 18:30,     47546,              3,db file sequential read                                         ,      758745.01
2016_02_13 18:30,     47546,              3,log file sync                                                   ,      416279.45
2016_02_13 18:30,     47546,              1,db file scattered read                                          ,           1.18
2016_02_13 18:30,     47546,              2,log file parallel write                                         ,      142985.09
2016_02_13 18:30,     47546,              2,direct path read                                                ,      372535.96
2016_02_13 18:30,     47546,              2,log file sync                                                   ,      339853.08
2016_02_13 18:30,     47546,              1,db file sequential read                                         ,        9956.26
2016_02_13 18:30,     47546,              1,log file sync                                                   ,       47556.59
2016_02_13 18:30,     47546,              3,enq: TX - row lock contention                                   ,       28643.81
2016_02_13 19:00,     47547,              4,log file parallel write                                         ,       52353.97
2016_02_13 19:00,     47547,              4,log file sync                                                   ,       93364.61
2016_02_13 19:00,     47547,              4,SQL*Net more data from dblink                                   ,      102965.72
2016_02_13 19:00,     47547,              3,db file sequential read                                         ,      651962.45
2016_02_13 19:00,     47547,              3,log file sync                                                   ,      510999.73
2016_02_13 19:00,     47547,              1,db file scattered read                                          ,           1.71
2016_02_13 19:00,     47547,              2,log file parallel write                                         ,      148115.55
2016_02_13 19:00,     47547,              2,direct path read                                                ,      513907.37
2016_02_13 19:00,     47547,              2,log file sync                                                   ,      415249.04
2016_02_13 19:00,     47547,              1,db file sequential read                                         ,       11389.91
2016_02_13 19:00,     47547,              1,log file sync                                                   ,       59983.83
2016_02_13 19:00,     47547,              3,enq: TX - row lock contention                                   ,        2963.98
2016_02_13 19:30,     47548,              4,log file parallel write                                         ,       55934.23
2016_02_13 19:30,     47548,              4,log file sync                                                   ,        86522.2
2016_02_13 19:30,     47548,              4,SQL*Net more data from dblink                                   ,              0
2016_02_13 19:30,     47548,              3,db file sequential read                                         ,      635449.24
2016_02_13 19:30,     47548,              3,log file sync                                                   ,      413024.45
2016_02_13 19:30,     47548,              1,db file scattered read                                          ,           1.21
2016_02_13 19:30,     47548,              2,log file parallel write                                         ,      140254.29
2016_02_13 19:30,     47548,              2,direct path read                                                ,      286727.85
2016_02_13 19:30,     47548,              2,log file sync                                                   ,      347473.17
2016_02_13 19:30,     47548,              1,db file sequential read                                         ,        7316.26
2016_02_13 19:30,     47548,              1,log file sync                                                   ,       56278.46
2016_02_13 19:30,     47548,              3,enq: TX - row lock contention                                   ,       17913.41
2016_02_13 20:00,     47549,              4,log file parallel write                                         ,       48028.93
2016_02_13 20:00,     47549,              4,log file sync                                                   ,       95136.08
2016_02_13 20:00,     47549,              4,SQL*Net more data from dblink                                   ,              0
2016_02_13 20:00,     47549,              3,db file sequential read                                         ,      604628.17
2016_02_13 20:00,     47549,              3,log file sync                                                   ,      360755.33
2016_02_13 20:00,     47549,              1,db file scattered read                                          ,           9.89
2016_02_13 20:00,     47549,              2,log file parallel write                                         ,      182490.52
2016_02_13 20:00,     47549,              2,direct path read                                                ,      777594.45
2016_02_13 20:00,     47549,              2,log file sync                                                   ,      659088.91
2016_02_13 20:00,     47549,              1,db file sequential read                                         ,        4257.88
2016_02_13 20:00,     47549,              1,log file sync                                                   ,       72925.31
