Enter value for sql_id: crg49j4zawzwt

   |             |          |      |                 |    |      |       |      |        |            |           |         |          |      elapsd|         cpu|          io|       clust|        conc|         |          |            |
   |             |          |      |                 | inv| parse|       |PXServ|        |      buffer|       disk|   direct|      rows|        time|        time|        wait|        wait|        wait|         |          |     elapsed|
 in|             | plan_hash|  snap|                 |alid| calls|   exec|  Exec| fetches|        gets|      reads|   writes| processed|       delta|       delta|       delta|       delta|       delta|         |          |         per|
 ID|SQL_ID       |     value|    id|SNAP_BEG         | dlt| delta|  delta| delta|   delta|       delta|      delta|    delta|     delta|        (ms)|        (ms)|        (ms)|        (ms)|        (ms)|OPT      |    CPU_EX|   execution|SQL_PROFILE
---|-------------|----------|------|-----------------|----|------|-------|------|--------|------------|-----------|---------|----------|------------|------------|------------|------------|------------|---------|----------|------------|------------------------------------------------------------------------------------------------
  1|crg49j4zawzwt| 311184100| 26203|MON 07-10 07:00  |   0|     4|     15|     0|      15|     4909770|    4546753|        0|         0|  1329003.67|   228270.00|  1186640.41|         .00|         .08|ALL      |     15218|    88600.24|null
  1|crg49j4zawzwt| 311184100| 26204|MON 07-10 08:00  |   0|     3|     16|     0|      16|     5237088|    4870672|        0|         0|  1377841.36|   239060.00|  1237163.74|         .00|         .06|ALL      |  14941.25|    86115.09|null
  1|crg49j4zawzwt| 311184100| 26205|MON 07-10 09:00  |   0|     3|     16|     0|      16|     5237092|    4870676|        0|         4|  1376459.16|   239100.00|  1234887.32|         .00|         .00|ALL      |  14943.75|    86028.70|null
  1|crg49j4zawzwt| 311184100| 26206|MON 07-10 10:00  |   0|     4|     16|     0|      16|     5237090|    4870674|        0|         2|  1402218.42|   241730.00|  1259366.73|         .00|       18.93|ALL      | 15108.125|    87638.65|null
  1|crg49j4zawzwt| 311184100| 26207|MON 07-10 11:00  |   0|     5|     15|     0|      16|     5237088|    4933584|        0|         0|  1396820.29|   229080.00|  1266048.17|         .00|         .00|ALL      |     15272|    93121.35|null
  1|crg49j4zawzwt| 311184100| 26208|MON 07-10 12:00  |   0|     5|     15|     0|      15|     4909770|    4634025|        0|         0|  1880851.72|   213960.00|  1759134.61|         .00|         .00|ALL      |     14264|   125390.11|null
  1|crg49j4zawzwt| 311184100| 26209|MON 07-10 13:00  |   1|     1|     16|     0|      16|     5237092|    4942951|        0|         4|  1296753.20|   222530.00|  1172998.12|         .00|         .00|ALL      | 13908.125|    81047.08|null
  1|crg49j4zawzwt| 311184100| 26210|MON 07-10 14:00  |   0|     5|     16|     0|      16|     5237089|    4942912|        0|         1|  1309527.52|   224150.00|  1182484.69|         .00|         .00|ALL      | 14009.375|    81845.47|null
  1|crg49j4zawzwt| 311184100| 26211|MON 07-10 15:00  |   0|     6|     17|     0|      16|     5237088|    3851347|        0|         0|  1097791.06|   189330.00|   980191.91|         .00|        1.47|ALL      |11137.0588|    64575.94|null
  1|crg49j4zawzwt| 311184100| 26212|MON 07-10 16:00  |   0|    10|     16|     0|      17|     5564406|    3975365|        0|         0|  1153903.52|   208260.00|  1024306.91|         .00|         .00|ALL      |  13016.25|    72118.97|null
