collection_host,collection_key,category,data_element,source,instance_number,inst_id,value
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_9999   , dba_hist_active_sess_history,                   -1,                   -1,                          3
usaws910, TASDEV3404434, cpu, aas_on_cpu_9999              , dba_hist_active_sess_history,                   -1,                   -1,                          3
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_9999  , dba_hist_active_sess_history,                   -1,                   -1,                          3
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_999    , dba_hist_active_sess_history,                    1,                    0,                          3
usaws910, TASDEV3404434, cpu, aas_on_cpu_999               , dba_hist_active_sess_history,                    1,                    0,                          3
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_999   , dba_hist_active_sess_history,                    1,                    0,                          3
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_999    , dba_hist_active_sess_history,                   -1,                   -1,                          3
usaws910, TASDEV3404434, cpu, aas_on_cpu_999               , dba_hist_active_sess_history,                   -1,                   -1,                          3
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_999   , dba_hist_active_sess_history,                   -1,                   -1,                          3
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_99     , dba_hist_active_sess_history,                    1,                    0,                          2
usaws910, TASDEV3404434, cpu, aas_on_cpu_99                , dba_hist_active_sess_history,                    1,                    0,                          2
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_99    , dba_hist_active_sess_history,                    1,                    0,                          0
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_99     , dba_hist_active_sess_history,                   -1,                   -1,                          2
usaws910, TASDEV3404434, cpu, aas_on_cpu_99                , dba_hist_active_sess_history,                   -1,                   -1,                          2
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_99    , dba_hist_active_sess_history,                   -1,                   -1,                          0
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_97     , dba_hist_active_sess_history,                    1,                    0,                          2
usaws910, TASDEV3404434, cpu, aas_on_cpu_97                , dba_hist_active_sess_history,                    1,                    0,                          2
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_97    , dba_hist_active_sess_history,                    1,                    0,                          0
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_97     , dba_hist_active_sess_history,                   -1,                   -1,                          2
usaws910, TASDEV3404434, cpu, aas_on_cpu_97                , dba_hist_active_sess_history,                   -1,                   -1,                          2
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_97    , dba_hist_active_sess_history,                   -1,                   -1,                          0
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_95     , dba_hist_active_sess_history,                    1,                    0,                          2
usaws910, TASDEV3404434, cpu, aas_on_cpu_95                , dba_hist_active_sess_history,                    1,                    0,                          2
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_95    , dba_hist_active_sess_history,                    1,                    0,                          0
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_95     , dba_hist_active_sess_history,                   -1,                   -1,                          2
usaws910, TASDEV3404434, cpu, aas_on_cpu_95                , dba_hist_active_sess_history,                   -1,                   -1,                          2
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_95    , dba_hist_active_sess_history,                   -1,                   -1,                          0
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_90     , dba_hist_active_sess_history,                    1,                    0,                          1
usaws910, TASDEV3404434, cpu, aas_on_cpu_90                , dba_hist_active_sess_history,                    1,                    0,                          1
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_90    , dba_hist_active_sess_history,                    1,                    0,                          0
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_90     , dba_hist_active_sess_history,                   -1,                   -1,                          1
usaws910, TASDEV3404434, cpu, aas_on_cpu_90                , dba_hist_active_sess_history,                   -1,                   -1,                          1
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_90    , dba_hist_active_sess_history,                   -1,                   -1,                          0
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_75     , dba_hist_active_sess_history,                    1,                    0,                          1
usaws910, TASDEV3404434, cpu, aas_on_cpu_75                , dba_hist_active_sess_history,                    1,                    0,                          1
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_75    , dba_hist_active_sess_history,                    1,                    0,                          0
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_75     , dba_hist_active_sess_history,                   -1,                   -1,                          1
usaws910, TASDEV3404434, cpu, aas_on_cpu_75                , dba_hist_active_sess_history,                   -1,                   -1,                          1
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_75    , dba_hist_active_sess_history,                   -1,                   -1,                          0
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_median , dba_hist_active_sess_history,                    1,                    0,                          1
usaws910, TASDEV3404434, cpu, aas_on_cpu_median            , dba_hist_active_sess_history,                    1,                    0,                          1
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_median, dba_hist_active_sess_history,                    1,                    0,                          0
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_median , dba_hist_active_sess_history,                   -1,                   -1,                          1
usaws910, TASDEV3404434, cpu, aas_on_cpu_median            , dba_hist_active_sess_history,                   -1,                   -1,                          1
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_median, dba_hist_active_sess_history,                   -1,                   -1,                          0
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_avg    , dba_hist_active_sess_history,                    1,                    0,                        1.1
usaws910, TASDEV3404434, cpu, aas_on_cpu_avg               , dba_hist_active_sess_history,                    1,                    0,                        1.1
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_avg   , dba_hist_active_sess_history,                    1,                    0,                          0
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_avg    , dba_hist_active_sess_history,                   -1,                   -1,                        1.1
usaws910, TASDEV3404434, cpu, aas_on_cpu_avg               , dba_hist_active_sess_history,                   -1,                   -1,                        1.1
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_avg   , dba_hist_active_sess_history,                   -1,                   -1,                          0
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_peak   , gv$active_session_history,                    0,                    1,                          4
usaws910, TASDEV3404434, cpu, aas_on_cpu_peak              , gv$active_session_history,                    0,                    1,                          4
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_peak  , gv$active_session_history,                    0,                    1,                          3
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_peak   , gv$active_session_history,                   -1,                   -1,                          4
usaws910, TASDEV3404434, cpu, aas_on_cpu_peak              , gv$active_session_history,                   -1,                   -1,                          4
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_peak  , gv$active_session_history,                   -1,                   -1,                          3
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_9999   , gv$active_session_history,                    0,                    1,                          4
usaws910, TASDEV3404434, cpu, aas_on_cpu_9999              , gv$active_session_history,                    0,                    1,                          4
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_9999  , gv$active_session_history,                    0,                    1,                          3
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_9999   , gv$active_session_history,                   -1,                   -1,                          4
usaws910, TASDEV3404434, cpu, aas_on_cpu_9999              , gv$active_session_history,                   -1,                   -1,                          4
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_9999  , gv$active_session_history,                   -1,                   -1,                          3
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_999    , gv$active_session_history,                    0,                    1,                          3
